name,latitude,longitude,type
Ado Gwaram Secondary School,11.967557,8.531557,school
Oke Okanla Baptist Primary School,7.767481,4.552619,school
Hassan Gwarzo School,11.949377,8.539857,school
St Louis Secondary School Bompai,12.019254,8.562883,school
,10.167576,13.226250,school
,10.172857,13.187396,school
,7.877448,4.344777,school
,7.714611,4.488952,school
Great-Elsaadai Schools,7.717388,4.489838,school
Linkfield Int'l School,5.483191,7.012121,school
Kingdom Heritage Schools,5.482473,7.013323,school
"Mbaise Secondary School, Aboh Mbaise, Imo State",5.476002,7.269296,school
"Group School, Ezuhu Nguru, Aboh Mbaise",5.482974,7.265922,school
Nuhu Bamalli Polytechnic Zaria,11.037333,7.673944,school
St. Joseph Primary School,7.164461,4.729260,school
St. John Primary School,7.159139,4.725110,school
St. Andrew Primary School,7.161496,4.724893,school
St. Gabriel Primary School,7.165279,4.723666,school
C. A. C. Primary School,7.164024,4.723617,school
Ansirudeen Primary School,7.167950,4.723182,school
Konigin Des Fredens College,6.413481,7.502396,school
GOVERNMENT GIRLS SECONDARY SCHOOL,10.141403,6.006208,school
The Federal Polytechnic,6.892240,2.982727,school
ADO BOBI PRIMARY SCHOOL.,10.136487,6.022490,school
County Grammar School,4.974358,7.036368,school
Federal land Resources Owerri,5.443848,6.923906,school
,5.424884,6.944755,school
Gombe Childrean and High School,10.280141,11.162080,school
Primary school,7.217336,4.754967,school
Primary school,7.221414,4.774215,school
Jossy wisdom group of schools,6.349237,5.590796,school
Girls Seconadry School,5.486627,7.021453,school
Federal Government Girls College,5.500817,7.034381,school
,5.482945,7.033815,school
Emmanuel College,5.479713,7.032002,school
CEG Iwoyé,7.567956,2.735082,school
EPP Iwoyé,7.554702,2.741344,school
ugiomo secondary school,6.289918,5.635155,school
Early days,4.823365,7.058438,school
Nazareth schools,4.824732,7.059441,school
Nazareth schools,4.824989,7.059239,school
Essence International School,10.535266,7.455660,school
Taurari Trend Setters School,10.551863,7.455845,school
Zamani Junior Secondary,10.543201,7.455569,school
F.G.C,10.552899,7.474061,school
