name,latitude,longitude,type
"Group School, Ezuhu Nguru, Aboh Mbaise","5.4829739","7.2659217","school"
"Nuhu Bamalli Polytechnic Zaria","11.0373333","7.6739439","school"
"St. Joseph Primary School","7.1644609","4.7292602","school"
"St. John Primary School","7.1591392","4.7251101","school"
"St. Andrew Primary School","7.1614959","4.7248931","school"
"St. Gabriel Primary School","7.1652792","4.7236658","school"
"C. A. C. Primary School","7.1640243","4.7236171","school"
"Ansirudeen Primary School","7.1679500","4.7231816","school"
"Konigin Des Fredens College","6.4134811","7.5023965","school"
"GOVERNMENT GIRLS SECONDARY SCHOOL","10.1414034","6.0062078","school"
"The Federal Polytechnic","6.8922400","2.9827271","school"
"ADO BOBI PRIMARY SCHOOL.","10.1364866","6.0224903","school"
"County Grammar School","4.9743579","7.0363679","school"
"Federal land Resources Owerri","5.4438482","6.9239062","school"
"","5.4248837","6.9447553","school"
"Gombe Childrean and High School","10.2801411","11.1620797","school"
"Primary school","7.2173364","4.7549674","school"
"Primary school","7.2214136","4.7742149","school"
"Jossy wisdom group of schools","6.3492366","5.5907964","school"
"Girls Seconadry School","5.4866269","7.0214530","school"
"Federal Government Girls College","5.5008167","7.0343806","school"
"","5.4829451","7.0338153","school"
"Emmanuel College","5.4797134","7.0320025","school"
"CEG Iwoyé","7.5679560","2.7350822","school"
"EPP Iwoyé","7.5547015","2.7413439","school"
"ugiomo secondary school","6.2899182","5.6351549","school"
"Early days","4.8233647","7.0584382","school"
"Nazareth schools","4.8247317","7.0594406","school"
"Nazareth schools","4.8249891","7.0592388","school"
"Essence International School","10.5352658","7.4556597","school"
"Taurari Trend Setters School","10.5518630","7.4558453","school"
"Zamani Junior Secondary","10.5432009","7.4555694","school"
"F.G.C","10.5528992","7.4740608","school"
"Darrul Hudda","10.5651904","7.4783743","school"
"Moini","10.5423233","7.4400714","school"
"Public School (Black and White)","10.5458501","7.4442753","school"
"Sacre Heart","10.5108736","7.4412812","school"
"Laila Dogon Yaro","10.5364754","7.4341549","school"
"Turkish International School","10.5381951","7.4654092","school"
"girls technical college","5.1237374","7.3845471","school"
"Mercy Girls college","5.1201790","7.3836567","school"
"Ungwan Yelwa Primary School","10.4484825","7.4364298","school"
"","9.0247278","7.4573839","school"
"ASCL PRIMARY SCHOOL II","7.5589627","6.6374085","school"
"crown polytechnic","7.6131935","5.1300357","school"
"cac secondary school","7.6165355","5.1904652","school"
"baptist secondary school","7.6150775","5.1933085","school"
"SCIENCE PROJECT PRI and SEC SCHOOL, UNGUWA UKU","11.9577213","8.5620554","school"
"KUNDILA PRIMARY SCHOOL KUNDILA","11.9651250","8.5556055","school"
"GOVT SEC SCH KUNDILA","11.9650582","8.5562389","school"
"LIVING STONE SCHOOL","11.9617166","8.5364436","school"
"Babban Giji Secondary School, Karkasara","11.9585136","8.5447452","school"
"HOTORO MARADI SPECIAL PRIMARY SCHOOL","11.9602668","8.5796546","school"
"SCIENCE SECONDARY SCHOOL","11.9464446","8.5674438","school"
"INTERCONTINENTAL SCHOOLS, SEC","11.9789360","8.5537124","school"
"INTERCONTINENTAL SCHOOLS, PRIMARY","11.9789374","8.5533114","school"
"GYADI GYADI, GIRLS SECONDARY SCHOOL","11.9678941","8.5448098","school"
"GYADI GYADI SPECIAL PRIMARY SCHOOL","11.9683965","8.5459836","school"
"","11.7676440","8.4261574","school"
"RAE Creche","6.5530941","3.3241234","school"
"OGISO PRY SCH","6.2930518","5.5649722","school"
"","5.7206900","6.8616483","school"
"Chosen Secondary SchoolMgbi","5.7207999","6.8615859","school"
"Uwhie Ladies Vanguard Primary School","5.5549575","5.7657232","school"
"Excel Montissori School","5.5506088","5.7756561","school"
"Crystolite School","5.5511846","5.7760471","school"
"Edgeba Estate School","5.5381135","5.7336448","school"
"State School of Nursing","5.5348642","5.7425673","school"
"College of Education","5.5418289","5.7436019","school"
"State School,  Eyabugbe Primary School","5.5416871","5.7623940","school"
"St. Anthony Group of School","5.5407262","5.7610424","school"
"St. Philomena School","5.5515488","5.7774655","school"
"Perfect Kiddies","5.5481407","5.7759883","school"
"Ugboroke Primary School","5.5445279","5.7457441","school"
"Ochuks Academy","5.5393619","5.7621297","school"
"Royal Heritage School","5.5440136","5.7786430","school"
"Alden Schools","5.5401899","5.7798096","school"
"Glorious Excellence School","5.5511303","5.7732000","school"
"Brightfield Intl. Group of school","5.5629044","5.7564200","school"
"Crestview School","5.5703341","5.7449843","school"
"Vibrant Child Nursery and primary School","4.8882500","7.1298348","school"
"Jeddo Primary School","5.5925206","5.7056248","school"
"Cranefield International School","5.5995869","5.6966789","school"
"Christ d King School","5.5586705","5.7744888","school"
"Rhema Champion School","5.5544407","5.7740759","school"
"Star of David Intl. School","5.5547980","5.7701265","school"
"Enhance Academy","5.5604249","5.7706582","school"
"Edulyn  School","5.5644733","5.7547718","school"
"State School Okugbe Primary School","5.5621365","5.7445351","school"
"Precious Seeds Academy","5.5615125","5.7718923","school"
"Grace Fountain School","5.5611832","5.7728415","school"
"Desan School","5.5577316","5.7641347","school"
